Analyse	Resultat	Flexlab_code	LC_Analysis_name
Leiden	"Homo Wild Type"	GLEI1	"Melt Curve Genotyping for FVL"
Leiden	"Heterozygote"	GLEI2	"Melt Curve Genotyping for FVL"
Leiden	"Heterozygote (2)"	GLEI2	"Melt Curve Genotyping for FVL"
Leiden	"Homo mutated"	GLEI3	"Melt Curve Genotyping for FVL"
Protromb	"Homo WT"	GPRO1	"Melt Curve Genotyping for FII"
Protromb	"Hetero"	GPRO2	"Melt Curve Genotyping for FII"
Protromb	"Homo Mutated"	GPRO3	"Melt Curve Genotyping for FII"
Hemkro_C282Y	"wild type"	TEMP	"Melt Curve Genotyping for HFE C282Y"
Hemkro_C282Y	"heterozygote"	TEMP	"Melt Curve Genotyping for HFE C282Y"
Hemkro_C282Y	"mutant"	TEMP	"Melt Curve Genotyping for HFE C282Y"
Hemkro_H63D	"wild type"	TEMP	"Melt Curve Genotyping for HFE H63D"
Hemkro_H63D	"heterozygote"	TEMP	"Melt Curve Genotyping for HFE H63D"
Hemkro_H63D	"mutant"	TEMP	"Melt Curve Genotyping for HFE H63D"
Lakmut	"Homo mut"	GLCT1	"Melt Curve Genotyping for LCT"
Lakmut	"Hetero 13910"	GLCT2	"Melt Curve Genotyping for LCT"
Lakmut	"Hetero 13910(2)"	GLCT2	"Melt Curve Genotyping for LCT"
Lakmut	"Homo WT"	GLCT3	"Melt Curve Genotyping for LCT"
Lakmut	"Hetero 13915"	GLCT4	"Melt Curve Genotyping for LCT"
DYPD_2A	"Negative"	TEMP	"Melt Curve Genotyping for DPD 2A"
DYPD_2A	"Heterozygote"	TEMP	"Melt Curve Genotyping for DPD 2A"
DYPD_2A	"Homo Wild Type"	TEMP	"Melt Curve Genotyping for DPD 2A"
DYPD_2A	"Homo Mutated"	TEMP	"Melt Curve Genotyping for DPD 2A"
DYPD_13	"Negative"	TEMP	"Melt Curve Genotyping for DPD 13"
DYPD_13	"Heterozygote"	TEMP	"Melt Curve Genotyping for DPD 13"
DYPD_13	"Homo Wild Type"	TEMP	"Melt Curve Genotyping for DPD 13"
DYPD_13	"Homo Mutated"	TEMP	"Melt Curve Genotyping for DPD 13"
DYPD_67	"Negative"	TEMP	"Melt Curve Genotyping for DPD rs67"
DYPD_67	"Heterozygote"	TEMP	"Melt Curve Genotyping for DPD rs67"
DYPD_67	"Homo Wild Type"	TEMP	"Melt Curve Genotyping for DPD rs67"
DYPD_67	"Homo Mutated"	TEMP	"Melt Curve Genotyping for DPD rs67"
DYPD_56	"Negative"	TEMP	"Melt Curve Genotyping for DPD rs56"
DYPD_56	"Heterozygote"	TEMP	"Melt Curve Genotyping for DPD rs56"
DYPD_56	"Homo Wild Type"	TEMP	"Melt Curve Genotyping for DPD rs56"
DYPD_56	"Homo Mutated"	TEMP	"Melt Curve Genotyping for DPD rs56"
